time_taken,is_correct,attempts,key_presses,backspace_presses,mouse_movements,actual,response
7827,0,1,12,2,"[{'x': 833, 'y': 383}, {'x': 832, 'y': 386}, {'x': 830, 'y': 391}, {'x': 828, 'y': 398}, {'x': 827, 'y': 403}, {'x': 824, 'y': 407}, {'x': 823, 'y': 412}, {'x': 822, 'y': 415}, {'x': 820, 'y': 418}, {'x': 820, 'y': 419}, {'x': 820, 'y': 423}, {'x': 819, 'y': 425}, {'x': 818, 'y': 427}, {'x': 818, 'y': 431}, {'x': 817, 'y': 433}, {'x': 816, 'y': 436}, {'x': 816, 'y': 438}]",1K49r,1K4(R
5510,0,2,7,0,"[{'x': 808, 'y': 438}, {'x': 779, 'y': 435}, {'x': 764, 'y': 427}, {'x': 744, 'y': 416}, {'x': 726, 'y': 404}, {'x': 714, 'y': 393}, {'x': 706, 'y': 385}, {'x': 700, 'y': 379}, {'x': 696, 'y': 375}, {'x': 695, 'y': 374}, {'x': 693, 'y': 372}, {'x': 693, 'y': 371}, {'x': 691, 'y': 368}, {'x': 690, 'y': 366}, {'x': 689, 'y': 363}, {'x': 688, 'y': 362}, {'x': 688, 'y': 361}, {'x': 688, 'y': 360}, {'x': 688, 'y': 359}, {'x': 688, 'y': 358}, {'x': 687, 'y': 359}, {'x': 686, 'y': 361}, {'x': 684, 'y': 366}, {'x': 684, 'y': 368}, {'x': 683, 'y': 371}, {'x': 682, 'y': 374}, {'x': 680, 'y': 379}, {'x': 680, 'y': 384}, {'x': 679, 'y': 389}, {'x': 678, 'y': 393}, {'x': 678, 'y': 396}, {'x': 677, 'y': 400}, {'x': 677, 'y': 403}, {'x': 676, 'y': 406}, {'x': 676, 'y': 408}, {'x': 676, 'y': 410}, {'x': 675, 'y': 411}, {'x': 674, 'y': 412}]",1K49r,1K49R
7823,1,1,12,1,"[{'x': 768, 'y': 665}, {'x': 764, 'y': 656}, {'x': 759, 'y': 643}, {'x': 746, 'y': 603}, {'x': 738, 'y': 555}, {'x': 728, 'y': 471}, {'x': 727, 'y': 355}, {'x': 728, 'y': 355}, {'x': 732, 'y': 356}, {'x': 740, 'y': 356}, {'x': 748, 'y': 354}, {'x': 756, 'y': 350}, {'x': 767, 'y': 340}, {'x': 774, 'y': 335}, {'x': 780, 'y': 330}, {'x': 785, 'y': 327}, {'x': 787, 'y': 325}, {'x': 788, 'y': 324}, {'x': 788, 'y': 323}, {'x': 788, 'y': 322}, {'x': 787, 'y': 321}, {'x': 786, 'y': 319}, {'x': 782, 'y': 318}, {'x': 778, 'y': 317}, {'x': 770, 'y': 316}, {'x': 766, 'y': 316}, {'x': 762, 'y': 316}, {'x': 758, 'y': 317}, {'x': 756, 'y': 318}, {'x': 755, 'y': 318}, {'x': 755, 'y': 319}, {'x': 755, 'y': 320}, {'x': 753, 'y': 321}, {'x': 753, 'y': 323}, {'x': 752, 'y': 327}, {'x': 748, 'y': 343}, {'x': 746, 'y': 351}, {'x': 746, 'y': 355}, {'x': 744, 'y': 360}, {'x': 744, 'y': 363}, {'x': 743, 'y': 365}, {'x': 742, 'y': 367}, {'x': 740, 'y': 369}, {'x': 740, 'y': 371}, {'x': 739, 'y': 373}, {'x': 738, 'y': 373}, {'x': 738, 'y': 374}, {'x': 738, 'y': 375}, {'x': 738, 'y': 432}]",2BJu4,2BJu4
4407,0,1,5,0,"[{'x': 712, 'y': 364}, {'x': 712, 'y': 365}, {'x': 712, 'y': 366}, {'x': 712, 'y': 367}, {'x': 712, 'y': 368}, {'x': 712, 'y': 370}, {'x': 712, 'y': 372}, {'x': 712, 'y': 375}, {'x': 712, 'y': 378}, {'x': 712, 'y': 380}, {'x': 712, 'y': 382}, {'x': 712, 'y': 385}, {'x': 712, 'y': 387}, {'x': 712, 'y': 388}, {'x': 712, 'y': 390}, {'x': 711, 'y': 390}, {'x': 711, 'y': 391}, {'x': 840, 'y': 412}]",36mXs,36MXS
4986,1,1,9,0,"[{'x': 693, 'y': 379}, {'x': 696, 'y': 371}, {'x': 696, 'y': 367}, {'x': 696, 'y': 365}, {'x': 697, 'y': 364}, {'x': 697, 'y': 363}, {'x': 697, 'y': 364}, {'x': 697, 'y': 365}, {'x': 697, 'y': 366}, {'x': 697, 'y': 367}, {'x': 603, 'y': 434}]",2jFuK,2jFuK
15163,0,1,5,0,"[{'x': 686, 'y': 359}, {'x': 671, 'y': 346}, {'x': 637, 'y': 321}, {'x': 591, 'y': 295}, {'x': 566, 'y': 287}, {'x': 548, 'y': 285}, {'x': 533, 'y': 284}, {'x': 520, 'y': 285}, {'x': 515, 'y': 287}, {'x': 511, 'y': 288}, {'x': 506, 'y': 290}, {'x': 505, 'y': 291}, {'x': 504, 'y': 291}, {'x': 503, 'y': 291}, {'x': 502, 'y': 292}, {'x': 502, 'y': 295}, {'x': 509, 'y': 303}, {'x': 527, 'y': 315}, {'x': 576, 'y': 346}, {'x': 618, 'y': 367}, {'x': 663, 'y': 382}, {'x': 712, 'y': 396}, {'x': 729, 'y': 399}, {'x': 736, 'y': 401}, {'x': 739, 'y': 402}, {'x': 740, 'y': 402}, {'x': 739, 'y': 402}, {'x': 738, 'y': 402}, {'x': 737, 'y': 402}, {'x': 736, 'y': 400}, {'x': 736, 'y': 399}, {'x': 736, 'y': 395}, {'x': 735, 'y': 391}, {'x': 734, 'y': 383}, {'x': 734, 'y': 379}, {'x': 734, 'y': 376}, {'x': 734, 'y': 373}, {'x': 734, 'y': 372}, {'x': 734, 'y': 371}, {'x': 733, 'y': 371}, {'x': 779, 'y': 420}]",2Gtec,26tec
24209,0,1,5,0,"[{'x': 721, 'y': 355}, {'x': 656, 'y': 287}, {'x': 548, 'y': 216}, {'x': 348, 'y': 139}, {'x': 212, 'y': 123}, {'x': 91, 'y': 135}, {'x': 0, 'y': 197}, {'x': 0, 'y': 255}, {'x': 0, 'y': 310}, {'x': 10, 'y': 355}, {'x': 64, 'y': 422}, {'x': 120, 'y': 461}, {'x': 188, 'y': 488}, {'x': 256, 'y': 507}, {'x': 314, 'y': 513}, {'x': 375, 'y': 510}, {'x': 400, 'y': 499}, {'x': 420, 'y': 482}, {'x': 429, 'y': 468}, {'x': 436, 'y': 455}, {'x': 440, 'y': 443}, {'x': 446, 'y': 435}, {'x': 459, 'y': 426}, {'x': 474, 'y': 419}, {'x': 495, 'y': 416}, {'x': 528, 'y': 413}, {'x': 573, 'y': 411}, {'x': 596, 'y': 411}, {'x': 612, 'y': 412}, {'x': 623, 'y': 414}, {'x': 628, 'y': 414}, {'x': 629, 'y': 414}, {'x': 630, 'y': 414}, {'x': 632, 'y': 411}, {'x': 634, 'y': 407}, {'x': 640, 'y': 402}, {'x': 648, 'y': 395}, {'x': 660, 'y': 387}, {'x': 665, 'y': 383}, {'x': 669, 'y': 380}, {'x': 671, 'y': 379}, {'x': 672, 'y': 378}, {'x': 672, 'y': 377}, {'x': 688, 'y': 381}, {'x': 684, 'y': 407}]",39MtP,39mtp
4131,1,1,5,0,"[{'x': 621, 'y': 357}, {'x': 672, 'y': 379}, {'x': 672, 'y': 385}, {'x': 672, 'y': 400}, {'x': 672, 'y': 412}, {'x': 671, 'y': 425}, {'x': 671, 'y': 438}, {'x': 671, 'y': 452}, {'x': 671, 'y': 459}, {'x': 672, 'y': 464}, {'x': 672, 'y': 467}, {'x': 672, 'y': 469}, {'x': 672, 'y': 470}, {'x': 672, 'y': 471}, {'x': 672, 'y': 472}, {'x': 672, 'y': 473}, {'x': 672, 'y': 474}, {'x': 672, 'y': 475}, {'x': 672, 'y': 476}, {'x': 698, 'y': 369}, {'x': 699, 'y': 412}]",2ndv2,2ndv2
9372,0,1,6,0,"[{'x': 281, 'y': 22}, {'x': 339, 'y': 81}, {'x': 408, 'y': 142}, {'x': 480, 'y': 193}, {'x': 548, 'y': 235}, {'x': 622, 'y': 275}, {'x': 645, 'y': 289}, {'x': 658, 'y': 297}, {'x': 663, 'y': 300}, {'x': 665, 'y': 301}, {'x': 665, 'y': 302}, {'x': 666, 'y': 303}, {'x': 670, 'y': 306}, {'x': 678, 'y': 315}, {'x': 684, 'y': 323}, {'x': 691, 'y': 329}, {'x': 697, 'y': 336}, {'x': 702, 'y': 341}, {'x': 703, 'y': 341}, {'x': 704, 'y': 342}, {'x': 704, 'y': 343}, {'x': 704, 'y': 347}, {'x': 704, 'y': 354}, {'x': 706, 'y': 361}, {'x': 707, 'y': 364}, {'x': 707, 'y': 365}, {'x': 707, 'y': 366}, {'x': 701, 'y': 404}]",44Bnu,44bnu
83411,0,1,7,1,"[{'x': 693, 'y': 344}, {'x': 663, 'y': 306}, {'x': 583, 'y': 219}, {'x': 498, 'y': 132}, {'x': 428, 'y': 53}, {'x': 403, 'y': 22}, {'x': 496, 'y': 8}, {'x': 515, 'y': 18}, {'x': 536, 'y': 28}, {'x': 579, 'y': 52}, {'x': 593, 'y': 61}, {'x': 603, 'y': 67}, {'x': 608, 'y': 70}, {'x': 609, 'y': 72}, {'x': 615, 'y': 79}, {'x': 624, 'y': 94}, {'x': 636, 'y': 121}, {'x': 660, 'y': 178}, {'x': 676, 'y': 215}, {'x': 690, 'y': 243}, {'x': 706, 'y': 270}, {'x': 713, 'y': 281}, {'x': 720, 'y': 288}, {'x': 724, 'y': 294}, {'x': 728, 'y': 299}, {'x': 730, 'y': 301}, {'x': 732, 'y': 307}, {'x': 737, 'y': 319}, {'x': 741, 'y': 328}, {'x': 743, 'y': 335}, {'x': 746, 'y': 341}, {'x': 746, 'y': 343}, {'x': 747, 'y': 344}, {'x': 748, 'y': 345}, {'x': 748, 'y': 346}, {'x': 748, 'y': 347}, {'x': 713, 'y': 372}, {'x': 727, 'y': 409}]",46GuU,46guu
6467,0,1,5,0,"[{'x': 691, 'y': 370}, {'x': 732, 'y': 297}, {'x': 732, 'y': 296}, {'x': 732, 'y': 295}, {'x': 732, 'y': 294}, {'x': 732, 'y': 293}, {'x': 732, 'y': 292}, {'x': 732, 'y': 290}, {'x': 732, 'y': 288}, {'x': 732, 'y': 287}, {'x': 732, 'y': 283}, {'x': 732, 'y': 281}, {'x': 732, 'y': 278}, {'x': 732, 'y': 275}, {'x': 732, 'y': 271}, {'x': 732, 'y': 268}, {'x': 732, 'y': 267}, {'x': 732, 'y': 266}, {'x': 732, 'y': 265}, {'x': 732, 'y': 264}, {'x': 662, 'y': 414}]",3YJmB,3yjmb
6508,0,2,5,0,"[{'x': 720, 'y': 334}, {'x': 732, 'y': 272}, {'x': 732, 'y': 273}, {'x': 732, 'y': 274}, {'x': 732, 'y': 275}, {'x': 732, 'y': 276}, {'x': 732, 'y': 278}, {'x': 732, 'y': 280}, {'x': 732, 'y': 281}, {'x': 732, 'y': 283}, {'x': 732, 'y': 284}, {'x': 732, 'y': 285}, {'x': 732, 'y': 287}, {'x': 732, 'y': 288}, {'x': 731, 'y': 288}, {'x': 730, 'y': 288}, {'x': 730, 'y': 287}, {'x': 729, 'y': 287}, {'x': 729, 'y': 286}, {'x': 730, 'y': 287}, {'x': 730, 'y': 288}, {'x': 730, 'y': 291}, {'x': 730, 'y': 293}, {'x': 644, 'y': 384}]",3Ovyl,3uvyt
3918,0,1,5,0,"[{'x': 756, 'y': 370}, {'x': 729, 'y': 295}, {'x': 730, 'y': 298}, {'x': 730, 'y': 301}, {'x': 730, 'y': 306}, {'x': 730, 'y': 308}, {'x': 730, 'y': 312}, {'x': 730, 'y': 316}, {'x': 730, 'y': 325}, {'x': 729, 'y': 332}, {'x': 729, 'y': 335}, {'x': 640, 'y': 412}]",46tHX,46thx
12698,0,1,5,0,"[{'x': 652, 'y': 362}, {'x': 728, 'y': 335}, {'x': 728, 'y': 339}, {'x': 728, 'y': 343}, {'x': 728, 'y': 348}, {'x': 728, 'y': 351}, {'x': 728, 'y': 353}, {'x': 728, 'y': 354}, {'x': 728, 'y': 355}, {'x': 727, 'y': 355}, {'x': 726, 'y': 355}, {'x': 725, 'y': 355}, {'x': 724, 'y': 356}, {'x': 724, 'y': 358}, {'x': 724, 'y': 359}, {'x': 724, 'y': 360}, {'x': 724, 'y': 361}, {'x': 724, 'y': 360}, {'x': 724, 'y': 359}, {'x': 724, 'y': 358}, {'x': 723, 'y': 358}, {'x': 772, 'y': 404}]",2U3u6,2u3u6
